Generated ID,Course Name,Type,Course Category,Course Sub Category,Section,Student Program
0009ADB,International Trade and Policy,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0009ADB,Entrepreneurship I,Schedule,Major Courses,Capstone,Section A,BSc-BA
0009ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0009ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-BA
0022ADB,Entrepreneurship I,Schedule,Major Courses,Capstone,Section A,BSc-BA
0022ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0026ADB,Statistics for Engineering and Economics,Schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-ME
0026ADB,Thermodynamics,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0026ADB,Computer Aided Design and Manufacturing,Schedule,Major Courses,Major Electives,Section A,BSc-ME
0026ADB,Physics: Electromagnetism,Schedule,Liberal Arts Core Courses,Science,Section A,BSc-ME
0026ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-ME
0078ADB,Financial Accounting,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0078ADB,Principles of Microeconomics,Schedule,Major Courses,Required Major Classes,Section C,BSc-BA
0078ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-BA
0078ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section C,BSc-BA
0078ADB,Climate Change and Global Innovation,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-BA
0105ADB,Embedded Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-EEE
0105ADB,Internet of Things,Schedule,Major Courses,Major Electives,Section A,BSc-EEE
0105ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-EEE
0105ADB,Power Engineering,Schedule,Major Courses,Major Electives,Section A,BSc-EEE
0105ADB,Power Systems Analysis,Schedule,Major Courses,Major Electives,Section A,BSc-EEE
0105ADB,Engineering Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-EEE
0112ADB,Entrepreneurship I,Schedule,Major Courses,Capstone,Section A,BSc-BA
0112ADB,Business Law,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0112ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0112ADB,Organisational Development,Do not schedule,Major Courses,Major Electives,Section A,BSc-BA
0112ADB,Comparative Politics,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-BA
0126ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-ME
0126ADB,Engineering Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-ME
0126ADB,Mechanics of Machines & Engineering Vibration,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0126ADB,Heat Transfer,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0126ADB,Hydraulic & Fluid Machinery,Schedule,Major Courses,Major Electives,Section A,BSc-ME
0126ADB,Climate Change and Global Innovation,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-ME
0152ADB,Statistics for Engineering and Economics,Schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section A,BSc-ME
0152ADB,Thermodynamics,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0152ADB,Computer Aided Design and Manufacturing,Schedule,Major Courses,Major Electives,Section A,BSc-ME
0152ADB,Physics: Electromagnetism,Schedule,Liberal Arts Core Courses,Science,Section A,BSc-ME
0152ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-ME
0154ADB,Finance for Non-finance Managers,Schedule,Liberal Arts Core Courses,Business,Section A,BSc-CS
0154ADB,CSIS Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-CS
0154ADB,Operating Systems,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
0154ADB,Cloud Computing,Schedule,Major Courses,Major Electives,Section A,BSc-CS
0154ADB,Information and Systems Security,Schedule,Major Courses,Major Electives,Section A,BSc-CS
0156ADB,AC Electrical Machines,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0156ADB,Instrumentation for Engineering,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0156ADB,System Dynamics,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0156ADB,Mechanics of Materials,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0156ADB,Leadership Seminar IV for Engineers: Leadership as Service,Schedule,Liberal Arts Core Courses,Non-Major Electives,Section B,BSc-ME
0158ADB,Operations Management,Do not schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0158ADB,Corporate Finance,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0158ADB,Marketing,Do not schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0158ADB,International Trade and Policy,Schedule,Major Courses,Required Major Classes,Section B,BSc-BA
0158ADB,Leadership Seminar IV: Leadership as Service,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section B,BSc-BA
0160ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-ME
0160ADB,Engineering Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-ME
0160ADB,Mechanics of Machines & Engineering Vibration,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0160ADB,Heat Transfer,Schedule,Major Courses,Required Major Classes,Section A,BSc-ME
0160ADB,Advanced Mechanical Machine Design,Do not schedule,Major Courses,Major Electives,Section A,BSc-ME
0160ADB,Climate Change and Global Innovation,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-ME
0183ADB,Finance for Non-finance Managers,Schedule,Liberal Arts Core Courses,Business,Section B,BSc-CS
0183ADB,CSIS Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-CS
0183ADB,Operating Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
0183ADB,Undergraduate Thesis I (CS),Schedule,Major Courses,Capstone,Section A,BSc-CS
0183ADB,Information and Systems Security,Schedule,Major Courses,Major Electives,Section A,BSc-CS
0198ADB,Embedded Systems,Schedule,Major Courses,Required Major Classes,Section A,BSc-EEE
0198ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section D,BSc-EEE
0198ADB,Digital and Analog Signal Processing in Telecommunications,Schedule,Major Courses,Major Electives,Section A,BSc-EEE
0198ADB,Power Engineering,Schedule,Major Courses,Major Electives,Section A,BSc-EEE
0198ADB,Engineering Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-EEE
0198ADB,Climate Change and Global Innovation,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-EEE
0200ADB,Object-Oriented Programming,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
0200ADB,Discrete Structures and Theory,Schedule,Major Courses,Required Major Classes,Section A,BSc-CS
0200ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section B,BSc-CS
0200ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section C,BSc-CS
0200ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section H,BSc-CS
0204ADB,Object-Oriented Programming,Schedule,Major Courses,Required Major Classes,Section C,BSc-CS
0204ADB,Discrete Structures and Theory,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
0204ADB,Principles of Economics,Schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section A,BSc-CS
0204ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section E,BSc-CS
0204ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section I,BSc-CS
0222ADB,Finance for Non-finance Managers,Schedule,Liberal Arts Core Courses,Business,Section A,BSc-CS
0222ADB,CSIS Capstone Seminar,Do not schedule,Major Courses,Capstone,Section A,BSc-CS
0222ADB,Operating Systems,Schedule,Major Courses,Required Major Classes,Section B,BSc-CS
0222ADB,Internet of Things,Schedule,Major Courses,Major Electives,Section A,BSc-CS
0222ADB,Cloud Computing,Schedule,Major Courses,Major Electives,Section A,BSc-CS
0222ADB,Financial Accounting,Schedule,Major Courses,Required Major Classes,Section C,BSc-BA
0222ADB,Principles of Microeconomics,Schedule,Major Courses,Required Major Classes,Section A,BSc-BA
0222ADB,Applied Calculus - Part I,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section B,BSc-BA
0222ADB,Statistics,Do not schedule,Liberal Arts Core Courses,Mathematics & Quantitative,Section C,BSc-BA
0222ADB,African Trade and Regional Integration,Do not schedule,Liberal Arts Core Courses,Non-Major Electives,Section A,BSc-BA
0222ADB,"Leadership Seminar II: Rights, Ethics and Rule of Law",Do not schedule,Liberal Arts Core Courses,Humanities & Social Sciences,Section F,BSc-BA
